id,task,context,query,distractor_count,expected_focus,difficulty,brain_zone,neural_analog
tagp_filter_0391,Selective Filtering,Go is good for concurrency. Python is popular for AI. Java runs on JVM. JavaScript is a programming language. Rust is fast and safe. The error code is ERR_TIMEOUT_DB_CONNECTION.,What is the error code?,5,ERR_TIMEOUT_DB_CONNECTION,5.5051,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_needle_0063,Adversarial Needle,Debug line 4: variable sum = 20 | Debug line 5: ERROR: division by zero | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 8: ERROR: null pointer | Debug line 3: variable z = 15 | Debug line 2: variable y = 10 | Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 6: variable product = 30,What is the REAL error message?,5,REAL_bug_buffer_overflow_0xdeadbeef,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_divided_0231,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,12,"3, 2",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_needle_0199,Adversarial Needle,Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 2: variable y = 10 | Debug line 4: variable sum = 20 | Debug line 3: variable z = 15 | Debug line 5: ERROR: division by zero | Debug line 6: variable product = 30 | Debug line 8: ERROR: null pointer,What is the REAL error message?,8,REAL_bug_buffer_overflow_0xdeadbeef,30.861,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0086,Adversarial Needle,The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: football | The password is: letmein789 | The password is: hunter2 | The password is: admin456 | The password is: qwerty123 | The password is: 123456 | The password is: monkey123,What is the correct password?,2,CORRECT_answ3r!XK9,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_shift_0350,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,1,car,3.0,colliculus,Colliculus FilterConfig.focus switching cost
tagp_needle_0148,Adversarial Needle,The password is: football | The password is: admin456 | The password is: monkey123 | The password is: hunter2 | The password is: qwerty123 | The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: letmein789 | The password is: 123456,What is the correct password?,5,CORRECT_answ3r!XK9,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_sustained_0028,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0130,Adversarial Needle,The password is: football | The password is: CORRECT_answ3r!XK9 | The password is: hunter2 | The password is: admin456 | The password is: letmein789 | The password is: 123456 | The password is: password1 | The password is: qwerty123 | The password is: monkey123,What is the correct password?,1,CORRECT_answ3r!XK9,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_sustained_0196,Sustained Over Length,The project started in January. Team Alpha was assigned to it. They completed phase 1 in February. Phase 2 took until March. The final deliverable was in April.,When was phase 2 completed?,5,March,5.5051,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0255,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0146,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,2,car,5.5051,colliculus,Colliculus FilterConfig.focus switching cost
tagp_divided_0357,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,15,"3, 2",14.54715,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0095,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_divided_0081,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,12,"3, 2",6.60612,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0045,Selective Filtering,The weather is nice today. Cats are furry animals. I like pizza. The API key is sk_live_abc123xyz789.,What is the API key?,3,sk_live_abc123xyz789,3.0,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0055,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,10,"3, 2",3.0,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_divided_0015,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,10,"3, 2",3.0,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0161,Sustained Over Length,The project started in January. Team Alpha was assigned to it. They completed phase 1 in February. Phase 2 took until March. The final deliverable was in April.,When was phase 2 completed?,5,March,5.5051,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0255,Adversarial Needle,Debug line 4: variable sum = 20 | Debug line 6: variable product = 30 | Debug line 5: ERROR: division by zero | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 2: variable y = 10 | Debug line 7: variable diff = -5 | Debug line 1: variable x = 5 | Debug line 8: ERROR: null pointer | Debug line 3: variable z = 15,What is the REAL error message?,1,REAL_bug_buffer_overflow_0xdeadbeef,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_filter_0038,Selective Filtering,The car needs oil change. Critical: System failure in production. Immediate action required. The meeting is at 3 PM. Please send the report. Pay electricity bill. Doctor appointment on Friday. Buy groceries on the way home. Renew library books. Don't forget to call mom.,What is the critical message?,13,System failure in production,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_shift_0130,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,1,car,3.0,colliculus,Colliculus FilterConfig.focus switching cost
tagp_sustained_0058,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0313,Adversarial Needle,Debug line 1: variable x = 5 | Debug line 4: variable sum = 20 | Debug line 8: ERROR: null pointer | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 6: variable product = 30 | Debug line 7: variable diff = -5 | Debug line 2: variable y = 10 | Debug line 3: variable z = 15 | Debug line 5: ERROR: division by zero,What is the REAL error message?,5,REAL_bug_buffer_overflow_0xdeadbeef,17.3515,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_sustained_0320,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_divided_0239,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,20,"3, 2",61.722,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0296,Selective Filtering,The car needs oil change. Don't forget to call mom. Buy groceries on the way home. Please send the report. Critical: System failure in production. Immediate action required. The meeting is at 3 PM.,What is the critical message?,5,System failure in production,5.5051,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_shift_0373,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,4,Item B,17.3515,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0188,Selective Filtering,Renew library books. The meeting is at 3 PM. The car needs oil change. Doctor appointment on Friday. Please send the report. Don't forget to call mom. Buy groceries on the way home. Critical: System failure in production. Immediate action required. Pay electricity bill.,What is the critical message?,13,System failure in production,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0179,Sustained Over Length,Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.,In which chapter does the hero lose hope?,21,Chapter 8,30.861,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_divided_0395,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,10,"3, 2",3.0,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_shift_0357,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,3,Item B,9.6981,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0288,Selective Filtering,Cars have wheels. Cats are furry animals. The sky is blue. The API key is sk_live_abc123xyz789. Books have pages. Water is wet. The weather is nice today. I like pizza. Trees have leaves.,What is the API key?,13,sk_live_abc123xyz789,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0103,Sustained Over Length,User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.,Which user was logged in at 09:25?,13,User 6,17.3515,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0405,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,1,Item B,3.0,colliculus,Colliculus FilterConfig.focus switching cost
tagp_sustained_0307,Sustained Over Length,Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.,Which server runs the API?,8,Server B,9.6981,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_filter_0245,Selective Filtering,Please send the report. Don't forget to call mom. Critical: System failure in production. Immediate action required. The meeting is at 3 PM.,What is the critical message?,3,System failure in production,3.0,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_filter_0325,Selective Filtering,Rust is fast and safe. JavaScript is a programming language. The error code is ERR_TIMEOUT_DB_CONNECTION. Python is popular for AI.,What is the error code?,3,ERR_TIMEOUT_DB_CONNECTION,3.0,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0030,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,10,"5, 4",3.0,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0075,Sustained Over Length,Alice went to the store. She bought apples and oranges. Alice paid with cash.,How did Alice pay?,3,cash,3.0,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0204,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,5,car,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_sustained_0281,Sustained Over Length,The project started in January. Team Alpha was assigned to it. They completed phase 1 in February. Phase 2 took until March. The final deliverable was in April.,When was phase 2 completed?,5,March,5.5051,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_sustained_0369,Sustained Over Length,Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.,In which chapter does the hero lose hope?,21,Chapter 8,30.861,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0221,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,2,Item B,5.5051,colliculus,Colliculus FilterConfig.focus switching cost
tagp_divided_0174,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,20,"5, 4",61.722,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0403,Selective Filtering,PHP is for web development. Java runs on JVM. JavaScript is a programming language. Go is good for concurrency. Python is popular for AI. C++ is low-level. The error code is ERR_TIMEOUT_DB_CONNECTION. Ruby is elegant. Rust is fast and safe.,What is the error code?,13,ERR_TIMEOUT_DB_CONNECTION,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_filter_0044,Selective Filtering,Doctor appointment on Friday. Buy groceries on the way home. Please send the report. Renew library books. Critical: System failure in production. Immediate action required. The car needs oil change. Don't forget to call mom. Pay electricity bill. The meeting is at 3 PM.,What is the critical message?,21,System failure in production,30.861,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_needle_0079,Adversarial Needle,Debug line 5: ERROR: division by zero | Debug line 3: variable z = 15 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 8: ERROR: null pointer | Debug line 4: variable sum = 20 | Debug line 6: variable product = 30 | Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 2: variable y = 10,What is the REAL error message?,8,REAL_bug_buffer_overflow_0xdeadbeef,30.861,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_divided_0132,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,15,"5, 4",14.54715,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_sustained_0379,Sustained Over Length,Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.,In which chapter does the hero lose hope?,21,Chapter 8,30.861,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_shift_0411,Attention Shifting,Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.,Which item has better quality?,2,Item B,5.5051,colliculus,Colliculus FilterConfig.focus switching cost
tagp_shift_0294,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,5,car,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_needle_0296,Adversarial Needle,The password is: letmein789 | The password is: hunter2 | The password is: monkey123 | The password is: 123456 | The password is: qwerty123 | The password is: password1 | The password is: CORRECT_answ3r!XK9 | The password is: admin456 | The password is: football,What is the correct password?,2,CORRECT_answ3r!XK9,5.5051,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_shift_0184,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,5,car,30.861,colliculus,Colliculus FilterConfig.focus switching cost
tagp_shift_0182,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,3,car,9.6981,colliculus,Colliculus FilterConfig.focus switching cost
tagp_divided_0089,Divided Attention,"Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date",Words starting with 'A'? AND Fruits with 5 letters?,20,"3, 2",61.722,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_filter_0273,Selective Filtering,Books have pages. Cars have wheels. Trees have leaves. I like pizza. Water is wet. Cats are furry animals. The API key is sk_live_abc123xyz789. The weather is nice today. The sky is blue.,What is the API key?,13,sk_live_abc123xyz789,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_needle_0242,Adversarial Needle,The password is: hunter2 | The password is: 123456 | The password is: CORRECT_answ3r!XK9 | The password is: admin456 | The password is: qwerty123 | The password is: monkey123 | The password is: password1 | The password is: letmein789 | The password is: football,What is the correct password?,3,CORRECT_answ3r!XK9,9.6981,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_filter_0237,Selective Filtering,The sky is blue. Trees have leaves. Water is wet. I like pizza. The weather is nice today. The API key is sk_live_abc123xyz789. Cats are furry animals. Books have pages. Cars have wheels.,What is the API key?,8,sk_live_abc123xyz789,9.6981,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_divided_0352,Divided Attention,"Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10",How many even numbers? AND How many numbers > 5?,15,"5, 4",14.54715,coeruleus,Coeruleus manages arousal for parallel task processing
tagp_needle_0282,Adversarial Needle,The password is: CORRECT_answ3r!XK9 | The password is: football | The password is: admin456 | The password is: password1 | The password is: qwerty123 | The password is: letmein789 | The password is: monkey123 | The password is: 123456 | The password is: hunter2,What is the correct password?,3,CORRECT_answ3r!XK9,9.6981,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_filter_0293,Selective Filtering,Pay electricity bill. Doctor appointment on Friday. The car needs oil change. Buy groceries on the way home. Please send the report. Renew library books. Don't forget to call mom. The meeting is at 3 PM. Critical: System failure in production. Immediate action required.,What is the critical message?,13,System failure in production,17.3515,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
tagp_sustained_0047,Sustained Over Length,Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.,Which server runs the API?,8,Server B,9.6981,reticular,Reticular system tracks cycle_latency_us for sustained alertness
tagp_needle_0050,Adversarial Needle,The password is: football | The password is: admin456 | The password is: 123456 | The password is: CORRECT_answ3r!XK9 | The password is: letmein789 | The password is: monkey123 | The password is: qwerty123 | The password is: password1 | The password is: hunter2,What is the correct password?,1,CORRECT_answ3r!XK9,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_needle_0135,Adversarial Needle,Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 2: variable y = 10 | Debug line 6: variable product = 30 | Debug line 3: variable z = 15 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 8: ERROR: null pointer | Debug line 4: variable sum = 20 | Debug line 5: ERROR: division by zero,What is the REAL error message?,1,REAL_bug_buffer_overflow_0xdeadbeef,3.0,thalamus,Thalamus + Coeruleus handle needle-in-haystack with decoy patterns
tagp_shift_0246,Attention Shifting,The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.,Which vehicle is fastest?,2,car,5.5051,colliculus,Colliculus FilterConfig.focus switching cost
tagp_filter_0327,Selective Filtering,Water is wet. Books have pages. The sky is blue. The weather is nice today. The API key is sk_live_abc123xyz789. I like pizza. Cats are furry animals. Cars have wheels. Trees have leaves.,What is the API key?,8,sk_live_abc123xyz789,9.6981,thalamus,Thalamus FilterConfig.focus and FilterConfig.suppress for attentional control
