id,task,question,answer,ground_truth_confidence,difficulty,brain_zone,neural_analog
tmp_confidence_calibration_0090,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0091,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0092,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0093,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0094,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0095,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0096,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0097,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0098,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0099,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0100,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0101,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0102,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0103,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0104,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0105,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0106,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0107,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0108,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0109,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0110,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0111,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0112,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0113,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0114,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0115,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0116,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0117,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0118,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0119,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0120,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0121,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0122,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0123,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0124,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0125,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0126,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0127,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0128,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0129,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0130,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0131,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0132,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0133,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0134,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0135,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0136,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0137,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0138,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0139,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0140,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0141,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0142,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0143,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0144,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0145,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0146,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0147,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0148,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0149,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0150,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0151,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0152,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0153,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0154,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0155,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0156,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0157,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0158,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0159,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0160,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0161,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0162,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0163,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
