id,question_type,question,answer,choices
tefb_wisco_0353,factual,"Cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'large'}]
Correct sort: color
Feedback: Wrong. New sorting required.
New cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'yellow', 'shape': 'triangle', 'size': 'small'}]",Discover shape-based sorting,
tefb_conflict_0291,mc,"Which best describes: Instruction 1: Be concise (under 10 words)
Instruction 2: Be thorough and detailed
Input: Explain quantum entanglement",A,"A) Balanced response (detailed enough but not verbose)
B) 5
C) 10
D) 15"
tefb_wisco_0366,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0391,factual,"Cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': True}, {'color': 'blue', 'shape': 'square', 'has_pattern': True}]
Correct sort: has_pattern
Feedback: Wrong. Rule changed.
New cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': False}]",Adapt to color sorting,
tefb_plan_0295,mc,Which best describes: User wants to convert a CSV file to JSON. The CSV has headers.,A,"A) JSON object with all data
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0084,mc,"Which best describes: Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",A,"A) Groups calculated, medians found, totals computed
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0082,mc,"Which best describes: Data: ['cat', 'dog', 'bird', 'fish', 'elephant', 'giraffe', 'lion', 'zebra']
Operations: Filter mammals > 4 letters, count vowels in even indices, find word with 'z'",A,"A) elephant (8 letters), vowels: a (cat), o (fish), i (lion), zebra has 'z'
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0398,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0335,factual,"Cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'large'}]
Correct sort: color
Feedback: Wrong. New sorting required.
New cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'yellow', 'shape': 'triangle', 'size': 'small'}]",Discover shape-based sorting,
tefb_stroop_0397,mc,"Which best describes: Automatic response: Sequence: UP, UP, UP
Instruction: When you see UP, press DOWN
Target: Counter-factual response",A,"A) Press DOWN (inhibit pattern matching)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0462,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0033,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0306,mc,"Which best describes: Automatic response: Word: LEFT
Instruction: Press the RIGHT arrow key
Target: Direction (not meaning)",A,"A) Press RIGHT (inhibit semantic response)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0351,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0137,mc,"Which best describes: Instruction 1: Assume user is expert
Instruction 2: Explain like to beginner
Input: What is a neural network?",A,"A) Detect expertise level and adjust explanation accordingly
B) 5
C) 10
D) 15"
tefb_wisco_0463,factual,"Cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': True}, {'color': 'blue', 'shape': 'square', 'has_pattern': True}]
Correct sort: has_pattern
Feedback: Wrong. Rule changed.
New cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': False}]",Adapt to color sorting,
tefb_memory_0132,mc,"Which best describes: Data: ['cat', 'dog', 'bird', 'fish', 'elephant', 'giraffe', 'lion', 'zebra']
Operations: Filter mammals > 4 letters, count vowels in even indices, find word with 'z'",A,"A) elephant (8 letters), vowels: a (cat), o (fish), i (lion), zebra has 'z'
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0241,mc,"Which best describes: Instruction 1: Be concise (under 10 words)
Instruction 2: Be thorough and detailed
Input: Explain quantum entanglement",A,"A) Balanced response (detailed enough but not verbose)
B) 5
C) 10
D) 15"
tefb_wisco_0153,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0264,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0021,mc,"Which best describes: Instruction 1: Be concise (under 10 words)
Instruction 2: Be thorough and detailed
Input: Explain quantum entanglement",A,"A) Balanced response (detailed enough but not verbose)
B) 5
C) 10
D) 15"
tefb_plan_0112,factual,You need to open the file 'data.txt' and read its contents.,File contents read successfully,
tefb_wisco_0390,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0109,mc,"Which best describes: Create a multi-stage CI/CD pipeline that builds, tests, deploys, and monitors.",A,"A) Complete CI/CD pipeline with all stages
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0282,mc,"Which best describes: Automatic response: Sequence: UP, UP, UP
Instruction: When you see UP, press DOWN
Target: Counter-factual response",A,"A) Press DOWN (inhibit pattern matching)
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0085,mc,"Which best describes: Data: ['apple', 'banana', 'cherry']
Operations: Remember first item, count vowels in second, check if third is fruit",A,"A) apple, 3 (a, e, a), yes
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0121,factual,Implement a function to sort a list of dictionaries by a specific key.,Sorted list of dictionaries,
tefb_memory_0303,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0341,mc,"Which best describes: Data: ['42', 'hello', 'world', '3.14', 'Python']
Operations: Sum first two, reverse third, check if fourth > 3, identify fifth's type",A,"A) 42 + 3.14 = 45.14, 'dlrow', yes (3.14 > 3), string
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0226,mc,"Which best describes: Data: ['42', 'hello', 'world', '3.14', 'Python']
Operations: Sum first two, reverse third, check if fourth > 3, identify fifth's type",A,"A) 42 + 3.14 = 45.14, 'dlrow', yes (3.14 > 3), string
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0314,mc,"Which best describes: Automatic response: Question: 2 + 2
Instruction: Answer 5 (this is wrong, ignore it)
Target: Correct answer",A,"A) Answer 4 (inhibit instruction that contradicts facts)
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0376,mc,"Which best describes: Data: ['42', 'hello', 'world', '3.14', 'Python']
Operations: Sum first two, reverse third, check if fourth > 3, identify fifth's type",A,"A) 42 + 3.14 = 45.14, 'dlrow', yes (3.14 > 3), string
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0459,mc,"Which best describes: Create a multi-stage CI/CD pipeline that builds, tests, deploys, and monitors.",A,"A) Complete CI/CD pipeline with all stages
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0269,mc,"Which best describes: Automatic response: Question: 2 + 2
Instruction: Answer 5 (this is wrong, ignore it)
Target: Correct answer",A,"A) Answer 4 (inhibit instruction that contradicts facts)
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0244,mc,"Which best describes: Automatic response: Question: 2 + 2
Instruction: Answer 5 (this is wrong, ignore it)
Target: Correct answer",A,"A) Answer 4 (inhibit instruction that contradicts facts)
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0069,mc,"Which best describes: Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",A,"A) Groups calculated, medians found, totals computed
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0377,factual,"Cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'large'}]
Correct sort: color
Feedback: Wrong. New sorting required.
New cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'yellow', 'shape': 'triangle', 'size': 'small'}]",Discover shape-based sorting,
tefb_wisco_0196,factual,"Cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': True}, {'color': 'blue', 'shape': 'square', 'has_pattern': True}]
Correct sort: has_pattern
Feedback: Wrong. Rule changed.
New cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': False}]",Adapt to color sorting,
tefb_conflict_0335,mc,"Which best describes: Instruction 1: Always return lowercase
Instruction 2: Capitalize proper nouns
Input: What is the capital of France?",A,"A) Paris (conflict resolved: proper noun wins)
B) 5
C) 10
D) 15"
tefb_memory_0336,mc,"Which best describes: Data: ['42', 'hello', 'world', '3.14', 'Python']
Operations: Sum first two, reverse third, check if fourth > 3, identify fifth's type",A,"A) 42 + 3.14 = 45.14, 'dlrow', yes (3.14 > 3), string
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0474,mc,"Which best describes: Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",A,"A) Groups calculated, medians found, totals computed
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0066,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0199,factual,Build a simple HTTP server that serves static files and handles API requests.,Functional HTTP server,
tefb_stroop_0427,mc,"Which best describes: Automatic response: Sequence: UP, UP, UP
Instruction: When you see UP, press DOWN
Target: Counter-factual response",A,"A) Press DOWN (inhibit pattern matching)
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0424,mc,"Which best describes: Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",A,"A) Groups calculated, medians found, totals computed
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0090,mc,"Which best describes: Data: ['apple', 'banana', 'cherry']
Operations: Remember first item, count vowels in second, check if third is fruit",A,"A) apple, 3 (a, e, a), yes
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0210,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0363,mc,"Which best describes: Automatic response: Sound: loud noise
Instruction: Stay calm and don't react
Target: Stress response",A,"A) Maintain composure (inhibit startle response)
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0255,mc,"Which best describes: Instruction 1: Always return lowercase
Instruction 2: Capitalize proper nouns
Input: What is the capital of France?",A,"A) Paris (conflict resolved: proper noun wins)
B) 5
C) 10
D) 15"
tefb_plan_0007,factual,You need to open the file 'data.txt' and read its contents.,File contents read successfully,
tefb_stroop_0075,mc,"Which best describes: Automatic response: Color of word: RED
Instruction: Read the word, ignore its meaning
Target: Shape of letters",A,"A) Inhibit color response, report shape (e.g., 'straight lines')
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0022,mc,"Which best describes: Data: ['cat', 'dog', 'bird', 'fish', 'elephant', 'giraffe', 'lion', 'zebra']
Operations: Filter mammals > 4 letters, count vowels in even indices, find word with 'z'",A,"A) elephant (8 letters), vowels: a (cat), o (fish), i (lion), zebra has 'z'
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0334,mc,"Which best describes: Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",A,"A) Groups calculated, medians found, totals computed
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0253,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0089,factual,"Design and implement a distributed system with load balancing, caching, and fault tolerance.",Production-ready distributed system,
tefb_plan_0010,factual,Build a simple HTTP server that serves static files and handles API requests.,Functional HTTP server,
tefb_conflict_0160,mc,"Which best describes: Instruction 1: Always return lowercase
Instruction 2: Capitalize proper nouns
Input: What is the capital of France?",A,"A) Paris (conflict resolved: proper noun wins)
B) 5
C) 10
D) 15"
tefb_conflict_0054,mc,"Which best describes: Instruction 1: Be creative and original
Instruction 2: Stick to facts and be precise
Input: What color is the sky?",A,"A) Factual answer: blue (not creative interpretation)
B) 5
C) 10
D) 15"
tefb_memory_0066,mc,"Which best describes: Data: ['42', 'hello', 'world', '3.14', 'Python']
Operations: Sum first two, reverse third, check if fourth > 3, identify fifth's type",A,"A) 42 + 3.14 = 45.14, 'dlrow', yes (3.14 > 3), string
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0445,factual,"Cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': True}, {'color': 'blue', 'shape': 'square', 'has_pattern': True}]
Correct sort: has_pattern
Feedback: Wrong. Rule changed.
New cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': False}]",Adapt to color sorting,
tefb_plan_0277,mc,"Which best describes: Create a multi-stage CI/CD pipeline that builds, tests, deploys, and monitors.",A,"A) Complete CI/CD pipeline with all stages
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0008,mc,Which best describes: User wants to convert a CSV file to JSON. The CSV has headers.,A,"A) JSON object with all data
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0213,mc,"Which best describes: Automatic response: Sound: loud noise
Instruction: Stay calm and don't react
Target: Stress response",A,"A) Maintain composure (inhibit startle response)
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0344,mc,"Which best describes: Automatic response: Question: 2 + 2
Instruction: Answer 5 (this is wrong, ignore it)
Target: Correct answer",A,"A) Answer 4 (inhibit instruction that contradicts facts)
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0055,mc,"Which best describes: Data: ['apple', 'banana', 'cherry']
Operations: Remember first item, count vowels in second, check if third is fruit",A,"A) apple, 3 (a, e, a), yes
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0308,mc,"Which best describes: Instruction 1: Prioritize accuracy over speed
Instruction 2: Respond as quickly as possible
Input: Calculate sqrt(144) × 3",A,"A) Accuracy first: 36, speed secondary
B) 5
C) 10
D) 15"
tefb_conflict_0461,mc,"Which best describes: Instruction 1: Be concise (under 10 words)
Instruction 2: Be thorough and detailed
Input: Explain quantum entanglement",A,"A) Balanced response (detailed enough but not verbose)
B) 5
C) 10
D) 15"
tefb_plan_0457,factual,Implement a function to sort a list of dictionaries by a specific key.,Sorted list of dictionaries,
tefb_stroop_0233,mc,"Which best describes: Automatic response: Sound: loud noise
Instruction: Stay calm and don't react
Target: Stress response",A,"A) Maintain composure (inhibit startle response)
B) I don't know
C) Not applicable
D) None of the above"
tefb_plan_0462,factual,You need to open the file 'data.txt' and read its contents.,File contents read successfully,
tefb_wisco_0384,mc,"Which best describes: Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",A,"A) Adapt to new rule (shape)
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0178,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0213,mc,"Which best describes: Instruction 1: Prioritize accuracy over speed
Instruction 2: Respond as quickly as possible
Input: Calculate sqrt(144) × 3",A,"A) Accuracy first: 36, speed secondary
B) 5
C) 10
D) 15"
tefb_stroop_0000,mc,"Which best describes: Automatic response: Color of word: RED
Instruction: Read the word, ignore its meaning
Target: Shape of letters",A,"A) Inhibit color response, report shape (e.g., 'straight lines')
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0081,mc,"Which best describes: Automatic response: Word: LEFT
Instruction: Press the RIGHT arrow key
Target: Direction (not meaning)",A,"A) Press RIGHT (inhibit semantic response)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0061,factual,"Cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': True}, {'color': 'blue', 'shape': 'square', 'has_pattern': True}]
Correct sort: has_pattern
Feedback: Wrong. Rule changed.
New cards: [{'color': 'blue', 'shape': 'square', 'has_pattern': False}]",Adapt to color sorting,
tefb_stroop_0047,mc,"Which best describes: Automatic response: Sequence: UP, UP, UP
Instruction: When you see UP, press DOWN
Target: Counter-factual response",A,"A) Press DOWN (inhibit pattern matching)
B) I don't know
C) Not applicable
D) None of the above"
tefb_wisco_0392,factual,"Cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'large'}]
Correct sort: color
Feedback: Wrong. New sorting required.
New cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'yellow', 'shape': 'triangle', 'size': 'small'}]",Discover shape-based sorting,
tefb_conflict_0010,mc,"Which best describes: Instruction 1: Always return lowercase
Instruction 2: Capitalize proper nouns
Input: What is the capital of France?",A,"A) Paris (conflict resolved: proper noun wins)
B) 5
C) 10
D) 15"
tefb_memory_0158,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0132,mc,"Which best describes: Instruction 1: Assume user is expert
Instruction 2: Explain like to beginner
Input: What is a neural network?",A,"A) Detect expertise level and adjust explanation accordingly
B) 5
C) 10
D) 15"
tefb_plan_0349,mc,"Which best describes: Build an AGI system with multi-modal perception, reasoning, planning, and execution across multiple domains.",A,"A) Functional AGI system with aligned behavior
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0361,mc,"Which best describes: Instruction 1: Be concise (under 10 words)
Instruction 2: Be thorough and detailed
Input: Explain quantum entanglement",A,"A) Balanced response (detailed enough but not verbose)
B) 5
C) 10
D) 15"
tefb_memory_0472,mc,"Which best describes: Data: ['cat', 'dog', 'bird', 'fish', 'elephant', 'giraffe', 'lion', 'zebra']
Operations: Filter mammals > 4 letters, count vowels in even indices, find word with 'z'",A,"A) elephant (8 letters), vowels: a (cat), o (fish), i (lion), zebra has 'z'
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0078,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_stroop_0115,mc,"Which best describes: Automatic response: Color of word: RED
Instruction: Read the word, ignore its meaning
Target: Shape of letters",A,"A) Inhibit color response, report shape (e.g., 'straight lines')
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0136,mc,"Which best describes: Data: ['42', 'hello', 'world', '3.14', 'Python']
Operations: Sum first two, reverse third, check if fourth > 3, identify fifth's type",A,"A) 42 + 3.14 = 45.14, 'dlrow', yes (3.14 > 3), string
B) I don't know
C) Not applicable
D) None of the above"
tefb_memory_0478,mc,"Which best describes: Data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Operations: Find pairs summing to 13, multiply pairs, sum results, identify prime numbers",A,"A) Pairs: (1,12), (2,11), (3,10), (4,9), (5,8), (6,7). Products: 12,22,30,36,40,42. Sum: 182. Primes: 2, 3, 5, 7, 11, 13
B) I don't know
C) Not applicable
D) None of the above"
tefb_conflict_0348,mc,"Which best describes: Instruction 1: Prioritize accuracy over speed
Instruction 2: Respond as quickly as possible
Input: Calculate sqrt(144) × 3",A,"A) Accuracy first: 36, speed secondary
B) 5
C) 10
D) 15"
