random_value,computed,error_pct,n,k,m,p,q
2125.9677518395,2133.7638173657,0.366707,8,4,-2,1,3
0.1298595164,0.1296871411,0.132740,8,-2,0,-4,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
852547382199192300000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
1778787749064053.5000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
11899555611279910000000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
169241.7406404460,100360.2039083145,40.700088,9,4,0,4,3
2.4421793864,2.4420710348,0.004437,1,0,-1,-2,3
246629427871476.1200000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000820162,0.0000817756,0.293328,1,-2,-2,-4,-3
4772942010347.0080000000,100360.2039083145,99.999998,9,4,0,4,3
107.3970059770,107.3690804824,0.026002,9,4,-3,-1,2
174178184301413920000.0000000000,89209.0701407240,100.000000,8,4,0,4,3
0.0000000736,0.0000028922,3831.685817,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
394.7351216454,394.3906800424,0.087259,1,2,-1,4,3
14100034369447.3380000000,100360.2039083145,99.999999,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,0.0000028922,248865527.723107,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000036,0.0000028922,79463.532509,1,-4,-3,-4,-3
47543136435963020.0000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000023,0.0000028922,125500.200805,1,-4,-3,-4,-3
351734881447663650000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,0.0000028922,5868977.913592,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,0.0000028922,7027199.973255,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000052021,0.0000046797,10.042621,1,-4,-3,-3,-3
0.0000019041,0.0000028922,51.898058,1,-4,-3,-4,-3
0.1344053034,0.1343821485,0.017228,7,0,-3,1,-1
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
1543485733.0436723000,100360.2039083145,99.993498,9,4,0,4,3
10.1902095635,10.1976531940,0.073047,2,-3,0,4,3
877806576570881000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
619924001629403.9000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
693205770060193700000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
