id,question_type,question,answer
tagp_needle_0144,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0425,factual,What is the critical message?,System failure in production
tagp_needle_0132,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0110,factual,How did Alice pay?,cash
tagp_needle_0419,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0375,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0336,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0127,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0168,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0337,factual,Which server runs the API?,Server B
tagp_shift_0196,factual,Which vehicle is fastest?,car
tagp_filter_0284,factual,What is the critical message?,System failure in production
tagp_filter_0312,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0428,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0066,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0041,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0180,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0025,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0084,factual,Which vehicle is fastest?,car
tagp_sustained_0125,factual,How did Alice pay?,cash
tagp_filter_0291,factual,What is the API key?,sk_live_abc123xyz789
tagp_shift_0061,factual,Which item has better quality?,Item B
tagp_sustained_0051,factual,When was phase 2 completed?,March
tagp_divided_0050,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0094,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0092,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0180,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0376,factual,When was phase 2 completed?,March
tagp_shift_0051,factual,Which item has better quality?,Item B
tagp_needle_0363,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0312,factual,Which server runs the API?,Server B
tagp_shift_0331,factual,Which item has better quality?,Item B
tagp_filter_0334,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0062,factual,Which vehicle is fastest?,car
tagp_divided_0376,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0193,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0241,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0325,factual,How did Alice pay?,cash
tagp_sustained_0371,factual,When was phase 2 completed?,March
tagp_shift_0429,factual,Which item has better quality?,Item B
tagp_divided_0318,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0220,factual,How did Alice pay?,cash
tagp_needle_0261,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0028,factual,Which vehicle is fastest?,car
tagp_shift_0281,factual,Which item has better quality?,Item B
tagp_shift_0057,factual,Which item has better quality?,Item B
tagp_sustained_0358,factual,Which user was logged in at 09:25?,User 6
tagp_divided_0135,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0415,factual,Which item has better quality?,Item B
tagp_sustained_0048,factual,Which user was logged in at 09:25?,User 6
tagp_divided_0389,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0094,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0114,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0318,factual,Which vehicle is fastest?,car
tagp_sustained_0264,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0212,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0395,factual,Which item has better quality?,Item B
tagp_divided_0138,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0358,factual,Which vehicle is fastest?,car
tagp_sustained_0421,factual,When was phase 2 completed?,March
tagp_shift_0347,factual,Which item has better quality?,Item B
tagp_filter_0003,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0057,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0082,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0257,factual,Which server runs the API?,Server B
tagp_sustained_0153,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0064,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0397,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0427,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0279,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0417,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0431,factual,What is the critical message?,System failure in production
tagp_filter_0282,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0382,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0147,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0204,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_sustained_0147,factual,Which server runs the API?,Server B
tagp_sustained_0079,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0079,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0408,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0387,factual,Which item has better quality?,Item B
tagp_divided_0195,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0002,factual,Which vehicle is fastest?,car
tagp_filter_0168,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0207,factual,Which server runs the API?,Server B
tagp_divided_0048,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0005,factual,Which item has better quality?,Item B
tagp_sustained_0139,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0206,factual,What is the critical message?,System failure in production
tagp_needle_0397,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0188,factual,Which vehicle is fastest?,car
tagp_sustained_0032,factual,Which server runs the API?,Server B
tagp_filter_0389,factual,What is the critical message?,System failure in production
tagp_shift_0278,factual,Which vehicle is fastest?,car
tagp_filter_0183,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0075,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0315,factual,How did Alice pay?,cash
tagp_shift_0254,factual,Which vehicle is fastest?,car
tagp_sustained_0381,factual,When was phase 2 completed?,March
tagp_filter_0333,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0254,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0311,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0341,factual,When was phase 2 completed?,March
tagp_divided_0347,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0247,factual,Which item has better quality?,Item B
tagp_filter_0123,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0134,factual,What is the critical message?,System failure in production
tagp_filter_0097,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0396,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0073,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0191,factual,When was phase 2 completed?,March
tagp_needle_0322,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0121,factual,Which item has better quality?,Item B
tagp_shift_0132,factual,Which vehicle is fastest?,car
tagp_sustained_0198,factual,Which user was logged in at 09:25?,User 6
tagp_sustained_0367,factual,Which server runs the API?,Server B
tagp_shift_0356,factual,Which vehicle is fastest?,car
tagp_divided_0402,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0127,factual,Which item has better quality?,Item B
tagp_divided_0091,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0044,factual,Which vehicle is fastest?,car
tagp_shift_0213,factual,Which item has better quality?,Item B
tagp_sustained_0088,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0206,factual,Which vehicle is fastest?,car
tagp_sustained_0138,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0190,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0113,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0145,factual,How did Alice pay?,cash
tagp_divided_0164,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
