id,question_type,question,answer,choices
tmp_confidence_calibration_0016,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0017,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0018,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0019,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0020,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0021,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0022,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0023,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0024,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0025,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0026,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0027,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0028,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0029,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0030,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0031,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0032,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0033,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0034,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0035,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0036,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0037,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0038,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0039,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0040,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0041,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0042,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0043,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0044,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0045,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0046,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0047,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0048,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0049,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0050,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0051,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0052,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0053,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0054,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0055,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0056,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0057,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0058,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0059,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0060,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0061,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0062,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0063,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0064,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0065,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0066,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0067,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0068,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0069,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0070,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0071,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0072,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0073,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0074,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0075,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0076,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0077,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0078,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0079,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0080,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0081,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0082,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0083,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0084,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0085,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0086,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0087,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0088,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0089,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0090,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0091,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0092,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0093,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0094,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0095,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0096,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0097,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0098,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0099,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0100,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0101,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0102,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0103,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0104,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0105,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0106,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0107,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0108,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0109,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0110,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0111,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0112,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0113,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0114,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0115,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0116,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0117,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0118,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0119,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0120,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0121,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0122,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0123,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0124,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0125,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0126,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0127,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0128,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0129,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0130,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0131,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0132,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0133,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0134,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0135,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0136,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0137,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0138,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0139,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0140,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0141,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0142,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0143,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0144,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0145,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0146,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0147,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0148,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0149,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0150,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0151,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0152,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0153,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0154,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0155,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0156,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0157,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0158,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0159,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0160,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0161,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0162,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0163,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0164,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0165,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0166,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0167,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0168,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0169,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0170,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0171,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0172,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0173,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0174,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0175,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0176,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0177,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0178,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0179,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0180,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0181,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0182,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0183,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0184,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0185,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0186,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0187,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0188,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0189,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0190,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0191,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0192,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0193,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0194,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0195,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0196,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0197,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0198,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0199,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0200,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0201,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0202,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0203,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0204,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0205,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0206,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0207,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0208,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0209,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0210,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0211,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0212,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0213,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0214,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0215,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0216,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0217,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0218,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0219,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0220,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0221,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0222,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0223,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0224,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0225,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0226,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
